Time CPU_Usage
13 10.7
14 3
16 5
17 4.1
18 21.4
19 6.2
20 5.2
21 3
23 3
24 4
25 16
26 4.1
27 4
28 2.1
30 2
31 10.2
32 2
33 4
34 19
35 2
37 1
38 3
39 2
40 8.3
41 24
43 4.1
44 16.3
45 15.5
46 14.3
47 15.8
48 14.7
50 12.2
51 3
52 15.5
53 17.5
54 4.1
55 14.1
57 7
58 4.1
59 11.9
00 7.3
01 10.3
02 11
04 6.2
05 2.1
06 3
07 3
08 2
09 3
11 4
12 2.1
13 7.2
14 11.3
15 10.2
16 15.2
18 5.2
19 16.8
20 7.1
21 6.1
22 4.1
24 2
25 26
26 19.2
27 20.6
28 20.4
29 21.6
31 26.3
32 29.6
33 20.6
34 12.9
35 14.9
36 21.6
38 12.5
39 11.8
40 19.1
41 14.6
42 22
43 24
45 22.1
46 20
47 23.2
48 16.3
49 38.7
51 13.7
52 13.5
53 12
54 13.7
55 12
56 20.2
58 21.6
59 21.9
00 18.3
01 21.1
02 20.8
03 20.6
05 14
06 17.9
07 16.8
08 13.8
09 19.2
10 13.5
12 18.8
13 21.3
14 20.4
15 21.1
16 21.7
17 18.9
19 14.7
20 16.5
21 13.7
22 13.7
23 14
25 17.7
26 16.8
27 21.1
28 24
29 24
30 24.5
32 20
33 18.6
34 13.5
35 26.9
36 12.8
37 12.6
39 15.3
40 19.2
41 42.3
42 19.1
43 17.4
44 17.6
46 19.4
47 16.7
48 16
49 20.6
50 11.8
51 14.4
53 15.5
54 13.7
55 18.6
56 26.3
57 21.9
59 20.2
00 19.4
01 21
02 14.7
03 14.7
04 11.5
06 8.1
07 4
08 5.1
09 12.6
10 6.2
11 12.2
13 17.7
14 11.1
15 9.3
16 8.1
17 2
18 3
20 1
21 2
22 3
23 2.1
24 6.2
25 11.7
27 12.5
28 8.5
29 9.7
30 5.1
31 5.9
33 2.1
34 25.8
35 4.1
36 2.1
37 7.1
38 4.1
40 6
41 3
42 5.1
43 7.1
44 2
45 4.1
47 5.1
48 4
49 6.1
50 10.2
51 3
52 5
54 5
55 4
56 1
57 4.1
58 3.1
59 6
01 16.3
